,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
2,0,23.884833333333333,16,14,19,5,0.127,0.024,0.223,0.199,2143.5647716953013,18.817808851016487,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
3,0,23.884833333333333,19,16,24,8,0.289,0.001,0.378,0.377,1197.378987411353,8.8558477155133,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
4,0,23.884833333333333,20,17,24,7,0.309,0.226,0.387,0.161,1184.0630020451165,9.096938065995243,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
62,4,100.66563333333333,19,15,23,8,0.326,0.26,0.442,0.182,1204.699499376713,8.90999042208023,True,1,97.6031,101.5717,2,go,"(-0.5, 0)"
94,6,146.13406666666666,21,17,25,8,0.09,0.034,0.157,0.123,741.8201112763107,6.013197505363093,True,0,143.1029,146.77406666666667,3,go,"(-0.5, 0)"
122,8,177.6026,15,13,20,7,0.128,0.022,0.214,0.192,1567.4439093322749,17.25820965747696,True,1,174.54023333333333,178.14893333333333,2,go,"(-0.5, 0)"
151,10,221.91486666666665,20,17,24,7,0.097,0.021,0.195,0.174,1078.5876333553567,8.286590225718584,True,0,218.8676,222.4772,3,go,"(-0.5, 0)"
182,12,240.8835,18,15,22,7,0.189,0.115,0.293,0.178,1325.2443117010107,9.76484491102919,True,0,237.82106666666667,241.47706666666667,1,go,"(-0.5, 0)"
270,19,315.38306666666665,18,13,25,12,0.056,0.0,0.123,0.136,1194.1654345156198,8.799011746890352,True,0,312.32053333333334,315.9141333333333,1,go,"(-0.5, 0)"
305,21,343.67903333333334,15,12,18,6,0.219,0.142,0.324,0.182,1081.3700900244971,11.906334650863306,True,1,343.6480666666667,345.2264333333333,2,go,"(-0.5, 0)"
